City,District,Street,Price,Price_per_m,Area,Room number,Start date,Scraping date,Listing url,Floor,Floors number,Days difference
Poznań  ,Winogrady,Winogrady,569 500,13 495,42,2,2024-11-27,2024-12-19,https://gratka.pl/nieruchomosci/mieszkanie-poznan-winogrady/ob/38396867,11,11,22
Poznań  ,Stare Miasto,Os. Jana III Sobieskiego,585 000,9 451,61,3,2024-09-19,2024-12-19,https://gratka.pl/nieruchomosci/mieszkanie-poznan-stare-miasto-jana-iii-sobieskiego/ob/37134209,9,11,91
Poznań  ,Piątkowo,Os. Jana III Sobieskiego,589 000,9 349,63,3,2024-11-27,2024-12-19,https://gratka.pl/nieruchomosci/mieszkanie-poznan-piatkowo-os-jana-iii-sobieskiego/ob/38396987,2,10,22
Poznań  ,Antoninek,Leszka,657 000,10 753,61,3,2024-09-27,2024-12-19,https://gratka.pl/nieruchomosci/mieszkanie-poznan-antoninek-zieliniec-kobylepole-leszka/ob/37271781,1,4,83
Poznań  ,Łazarz,Antoniego Małeckiego,676 000,9 350,72,3,2024-09-16,2024-12-19,https://gratka.pl/nieruchomosci/mieszkanie-poznan-lazarz-maleckiego-antoniego/ob/37078087,1,4,94
Poznań  ,Naramowice,Naramowicka,695 550,10 289,67,2,2024-11-04,2024-12-19,https://gratka.pl/nieruchomosci/mieszkanie-poznan-naramowice-naramowicka/ob/37991417,2,5,45
Poznań  ,Piątkowo,Piątkowo,704 950,11 500,61,3,2024-03-27,2024-12-19,https://gratka.pl/nieruchomosci/mieszkanie-poznan-piatkowo/ob/34011259,3,4,267
Poznań  ,Grunwald Północ,Romana Maya,795 000,11 134,71,3,2024-11-18,2024-12-19,https://gratka.pl/nieruchomosci/mieszkanie-poznan-grunwald-miedzychodzka/ob/38495157,1,6,31
Poznań  ,Jeżyce,Adama Mickiewicza,823 500,14 005,58,2,2023-06-26,2024-12-19,https://gratka.pl/nieruchomosci/mieszkanie-poznan-jezyce-adama-mickiewicza/ob/30916133,0,4,542
Poznań  ,Górczyn,Jakuba Krauthofera,950 000,12 774,74,3,2024-06-08,2024-12-19,https://gratka.pl/nieruchomosci/mieszkanie-poznan-gorczyn-jakuba-krauthofera/ob/34827659,1,7,194
Poznań  ,Wilda,Jana Żupańskiego,964 000,9 414,102,3,2024-09-08,2024-12-19,https://gratka.pl/nieruchomosci/mieszkanie-poznan-wilda-zupanskiego/ob/37081829,3,5,102
Poznań  ,Rataje,Rataje,405 000,10 658,38,2,2024-12-03,2024-12-19,https://gratka.pl/nieruchomosci/mieszkanie-poznan-rataje-piastowskie-2-pokojowe/ob/38513907,6,10,16
Poznań  ,Piątkowo,Osiedle Bolesława Chrobrego,420 000,13 548,31,2,2024-12-02,2024-12-19,https://gratka.pl/nieruchomosci/mieszkanie-poznan-piatkowo-boleslawa-chrobrego/ob/38500133,4,11,17
Poznań  ,Starołęka,Starołęka,429 536,12 350,34,2,2022-11-23,2024-12-19,https://gratka.pl/nieruchomosci/mieszkanie-poznan-staroleka-minikowo-marlewo/ob/35136127,1,2,757
Poznań  ,Grunwald,Jawornicka,432 480,13 600,31,2,2024-11-21,2024-12-19,https://gratka.pl/nieruchomosci/mieszkanie-poznan-grunwald-jawornicka/ob/38301705,0,3,28
Poznań  ,Naramowice,Naramowicka,456 000,11 780,38,2,2024-11-25,2024-12-19,https://gratka.pl/nieruchomosci/mieszkanie-poznan-naramowice-naramowicka/ob/38361159,4,4,24
Poznań  ,Grunwald,Grochowska,465 000,10 361,44,3,2024-10-26,2024-12-19,https://gratka.pl/nieruchomosci/mieszkanie-poznan-grunwald-grochowska/ob/37861763,1,4,54
