Street,District
Borówkowa,Stare Miasto
Borsucza,Nowe Miasto
Boruty,Grunwald
Bosa,Grunwald
Bosmańska,Jeżyce
Botaniczna,Jeżyce
Bożeny,Nowe Miasto
Bóżnicza,Stare Miasto
Bożydara,Stare Miasto
Bożymira,Stare Miasto
Bożywoja,Stare Miasto
Braniborska,Grunwald
Braniewska,Jeżyce
Brasławska,Stare Miasto
Bratkowa,Grunwald
Bratumiły,Stare Miasto
Brneńska,Nowe Miasto
Brodnicka,Jeżyce
Brokułowa,Nowe Miasto
Bronisława,Stare Miasto
Bronisława Malinowskiego,Nowe Miasto
Bronisza,Stare Miasto
Browarna,Nowe Miasto
Bruzdowa,Nowe Miasto
Brylantowa,Stare Miasto
Brzask,Grunwald
Brzeska,Nowe Miasto
Brzeźnicka,Grunwald
Brzoskwiniowa,Nowe Miasto
Brzozowa,Wilda
Budzisława,Stare Miasto
Budziszyńska,Grunwald
Budzyńska,Jeżyce
Bukowa,Wilda
Bukowska,Grunwald
Bukowska,Jeżyce
Bułgarska,Grunwald
Burgundzka,Stare Miasto
Bursztynowa,Stare Miasto
Burtowa,Jeżyce
Burysława,Stare Miasto
Burzowa,Stare Miasto
Buska,Jeżyce
Bużańska,Jeżyce
Bychawska,Nowe Miasto
Byczyńska,Grunwald
Bydgoska,Nowe Miasto
Byka,Nowe Miasto
Bylicowa,Stare Miasto
Bystra,Nowe Miasto
Bystrzycka,Jeżyce
Bytomska,Wilda
Bzowa,Wilda
Cedrowa,Wilda
Cedzyńska,Grunwald
Ceglana,Grunwald
Celichowskich,Stare Miasto
Ceramiczna,Grunwald
Cerekwicka,Jeżyce
Cetniewska,Jeżyce
Chabrowa,Wilda
Chartowo,Nowe Miasto
Charzykowska,Jeżyce
Chęcińska,Nowe Miasto
Chełmińska,Jeżyce
Chemiczna,Nowe Miasto
Chlebowa,Nowe Miasto
Chłodna,Grunwald
Chmielna,Wilda
Chmurna,Stare Miasto
Chochołowska,Jeżyce
Chociebora,Nowe Miasto
Chocimska,Stare Miasto
Chodzieska,Jeżyce
Chojnicka,Jeżyce
