Street,District
Karpicka,Grunwald
Karsińska,Jeżyce
Kartuska,Jeżyce
Karwieńska,Jeżyce
Kaspra Drużbickiego,Stare Miasto
Kastylijska,Stare Miasto
Kasztanowa,Wilda
Kasztelańska,Grunwald
Kaszubska,Jeżyce
Katalońska,Stare Miasto
Katowicka,Nowe Miasto
Kazimiery Iłłakowiczówny,Grunwald
Kazimierza Ajdukiewicza,Stare Miasto
Kazimierza Brandysa,Jeżyce
Kazimierza Brossa,Grunwald
Kazimierza Drewnowskiego,Nowe Miasto
Kazimierza Jarochowskiego,Grunwald
Kazimierza Kantaka,Stare Miasto
Kazimierza Mielęckiego,Wilda
Kazimierza Nieżychowskiego,Jeżyce
Kazimierza Pułaskiego,Jeżyce
Kazimierza Pułaskiego,Stare Miasto
Kazimierza Pużaka,Wilda
Kazimierza Spornego,Stare Miasto
Kazimierza Szałasa,Jeżyce
Kazimierza Tymienieckiego,Stare Miasto
Kazimierza Wielkiego,Stare Miasto
Kazimierza Wierzyńskiego,Jeżyce
Kcyńska,Nowe Miasto
Kępa,Nowe Miasto
Kępińska,Wilda
Ketlinga,Grunwald
Kielecka,Nowe Miasto
Kiemliczów,Grunwald
Kierska,Jeżyce
Kirchholmska,Grunwald
Klasztorna,Stare Miasto
Klaudyny Potockiej,Grunwald
Kłecka,Nowe Miasto
Klemensa Janickiego,Jeżyce
Klementyny Hoffmanowej,Jeżyce
Klenowska,Nowe Miasto
Klimontowska,Nowe Miasto
Klin,Jeżyce
Klinkierowa,Grunwald
Klonowa,Wilda
Kłońska,Nowe Miasto
Kłosowa,Stare Miasto
Kluczborska,Wilda
Kłuszyńska,Grunwald
Kmicica,Grunwald
Kmieca,Stare Miasto
Kminkowa,Stare Miasto
Knyszyn,Stare Miasto
Kobylepole,Nowe Miasto
Kobylińska,Wilda
Kocankowa,Stare Miasto
Kociewska,Jeżyce
Kokosowa,Stare Miasto
Kolbuszowska,Nowe Miasto
Kolejowa,Grunwald
Kołobrzeska,Jeżyce
Kołodzieja,Nowe Miasto
Kolorowa,Grunwald
Kolska,Nowe Miasto
Komandoria,Nowe Miasto
Komandorska,Jeżyce
Komornicka,Grunwald
Konarowa,Wilda
Konarzewska,Grunwald
Kondratija Rylejewa,Stare Miasto
Konfederacka,Grunwald
Konińska,Nowe Miasto
Konopna,Stare Miasto
Konstancji Łubieńskiej,Grunwald
Konstantego Hrynakowskiego,Grunwald
Konstantego Ildefonsa Gałczyńskiego,Grunwald
Konstantego Skąpskiego,Jeżyce
Konstantego Troczyńskiego,Stare Miasto
Konwaliowa,Wilda
Kopanina,Grunwald
Kopciuszka,Grunwald
Kopcowa,Stare Miasto
Koprowa,Stare Miasto
Koprzywnicka,Nowe Miasto
Kopylnik,Nowe Miasto
Koralowa,Nowe Miasto
Korbielowska,Nowe Miasto
Korczyńska,Nowe Miasto
Kormorana,Nowe Miasto
Kornela Makuszyńskiego,Grunwald
Kórnicka,Nowe Miasto
Koronkarska,Nowe Miasto
Koronna,Jeżyce
Koronowska,Nowe Miasto
Korwetowa,Jeżyce
Korzenna,Wilda
Kościańska,Grunwald
Kościelna,Jeżyce
Kościerzyńska,Jeżyce
Kosiarzy,Nowe Miasto
Kosowska,Jeżyce
Kostrzyńska,Nowe Miasto
Kosynierska,Grunwald
Koszalińska,Jeżyce
Kotlarska,Nowe Miasto
Kotlińska,Wilda
Kotowo,Grunwald
Kowalewicka,Grunwald
Kowalska,Jeżyce
Kowarska,Jeżyce
Kozia,Stare Miasto
Kozienicka,Nowe Miasto
Koziorożca,Nowe Miasto
Koźmińska,Wilda
Kożuchowska,Wilda
kpt. Kazimierza Spornego,Stare Miasto
Krajenecka,Jeżyce
Krakowiaków i Górali,Stare Miasto
Krakowska,Stare Miasto
Kramarska,Stare Miasto
Krańcowa,Nowe Miasto
Krapkowicka,Grunwald
Kraśnicka,Nowe Miasto
Krasnoludków,Grunwald
Kresowa,Stare Miasto
Krobska,Grunwald
Krokusowa,Grunwald
Królewny Śnieżki,Grunwald
Królewska,Stare Miasto
Królowej Jadwigi,Stare Miasto
Królowej Jadwigi,Wilda
Krośnieńska,Grunwald
Krośniewicka,Nowe Miasto
Krótka,Nowe Miasto
Krotoszyńska,Nowe Miasto
Krucza,Nowe Miasto
Kruszwicka,Nowe Miasto
Krwawnikowa,Stare Miasto
Krynicka,Jeżyce
Kryształowa,Stare Miasto
Krywiczańska,Stare Miasto
Krzemieniowa,Stare Miasto
Krzepicka,Grunwald
Krzesiny,Nowe Miasto
Krzeszowicka,Grunwald
Krzysztofa Arciszewskiego,Grunwald
Krzysztofa Kamila Baczyńskiego,Grunwald
Krzysztofa Żegockiego,Stare Miasto
Krzywa,Grunwald
Krzywińska,Grunwald
Krzyżowa,Wilda
Krzyżówki,Nowe Miasto
ks. Bolesława Sulka,Nowe Miasto
ks. Edwarda Nawrota,Jeżyce
ks. Ignacego Posadzego,Nowe Miasto
ks. Jakuba Wujka,Wilda
ks. Jana Twardowskiego,Jeżyce
ks. Kazimierza Waseli,Wilda
ks. Stanisława Brzóski,Wilda
ks. Zdzisława Bernata,Nowe Miasto
ks.Tomasza Maćkowiaka,Grunwald
Ksawerego Zakrzewskiego,Stare Miasto
Książęca,Nowe Miasto
Księcia Józefa,Stare Miasto
Księcia Mieszka I,Stare Miasto
Księżycowa,Grunwald
Ku Cytadeli,Stare Miasto
Ku Dębinie,Wilda
Kudowska,Jeżyce
Kujawska,Jeżyce
Kukułcza,Nowe Miasto
Kupały,Stare Miasto
Kurlandzka,Nowe Miasto
Kurpiowska,Jeżyce
Kurzanoga,Stare Miasto
Kutnowska,Nowe Miasto
Kuźnicza,Grunwald
Kwarcowa,Stare Miasto
Kwiatowa,Stare Miasto
Kwidzyńska,Jeżyce
Kwiryny,Nowe Miasto
Łabędzia,Nowe Miasto
Łabiszyńska,Nowe Miasto
Lachowicka,Nowe Miasto
Łacina,Nowe Miasto
Lądecka,Jeżyce
Łady,Jeżyce
Łagiewnicka,Jeżyce
Łagodna,Stare Miasto
Łagowska,Jeżyce
Łąkowa,Stare Miasto
Łanowa,Wilda
Laskowa,Wilda
Latawcowa,Jeżyce
Laudańska,Grunwald
Laurowa,Stare Miasto
Lawendowa,Grunwald
Ławica,Grunwald
Łazienna,Stare Miasto
Lazurowa,Jeżyce
Lebiodowa,Stare Miasto
Lęborska,Jeżyce
Łebska,Jeżyce
Lechicka,Jeżyce
Lechicka,Stare Miasto
Łęczycka,Nowe Miasto
Lednicka,Jeżyce
Łęgi Dębińskie,Wilda
Legnicka,Grunwald
Lemierzycka,Jeżyce
Leona Prauzińskiego,Jeżyce
Leona Przyłuskiego,Stare Miasto
Leopolda Okulickiego,Wilda
Leopolda Staffa,Grunwald
Leopolda Tyrmanda,Jeżyce
Leska,Nowe Miasto
Leśna,Nowe Miasto
Leśników,Nowe Miasto
Leśnowolska,Jeżyce
Leśnych Skrzatów,Grunwald
Leszczyńska,Grunwald
Leszczyńska,Wilda
Leszka,Nowe Miasto
Leszka Proroka,Jeżyce
Letnia,Nowe Miasto
Letniskowa,Jeżyce
Lewkoniowa,Grunwald
Leżajska,Nowe Miasto
Lidzbarska,Jeżyce
Lidzka,Nowe Miasto
Liliowa,Jeżyce
Limanowska,Jeżyce
Lipnicka,Nowe Miasto
Lipowa,Wilda
Liryczna,Jeżyce
Lisa Witalisa,Grunwald
Lisia,Nowe Miasto
Listopadowa,Grunwald
Literacka,Jeżyce
Litewska,Jeżyce
Łobeska,Grunwald
Łobżenicka,Jeżyce
Lodowa,Grunwald
Łódzka,Jeżyce
Łomnicka,Jeżyce
Łomżyńska,Nowe Miasto
Longinusa Podbipięty,Grunwald
Łopawska,Nowe Miasto
Łopianowa,Stare Miasto
Łosiowa,Nowe Miasto
Lotaryńska,Stare Miasto
Łotewska,Stare Miasto
Lotnicza,Jeżyce
Lotników 302. Dywizjonu Poznańskiego,Wilda
Lotosowa,Grunwald
Łowicka,Nowe Miasto
Łozowa,Wilda
Luba,Jeżyce
Lubartowska,Nowe Miasto
Lubczykowa,Stare Miasto
Lubelska,Nowe Miasto
Lubiatowska,Jeżyce
Lubieńska,Jeżyce
Łubinowa,Grunwald
Lubniewicka,Grunwald
Lubomierska,Jeżyce
Lubońska,Wilda
Lubosińska,Jeżyce
Lubowska,Jeżyce
Lubuszańska,Nowe Miasto
Lucjana Ballenstedta,Stare Miasto
Łucji Danielewskiej,Jeżyce
Lucyny Sieciechowiczowej,Jeżyce
Łuczanowska,Stare Miasto
Łuczkowska,Nowe Miasto
Łucznicza,Nowe Miasto
Ludgardy,Stare Miasto
Ludmiły,Nowe Miasto
Ludosławy,Nowe Miasto
Ludwika Braille'a,Stare Miasto
Ludwika Idzikowskiego,Jeżyce
Ludwika Krzywickiego,Wilda
Ludwika Solskiego,Grunwald
Ludwika Zamenhofa,Nowe Miasto
Ludwiki Dobrzyńskiej-Rybickiej,Jeżyce
Ługańska,Nowe Miasto
Lukrecjusza,Jeżyce
Łupowska,Jeżyce
Lutycka,Jeżyce
Łużycka,Stare Miasto
Lwa,Nowe Miasto
Lwa Tołstoja,Jeżyce
Lwówecka,Grunwald
Lwowska,Nowe Miasto
Łyski,Nowe Miasto
Łysogórska,Nowe Miasto
Łysy Młyn,Stare Miasto
Macieja Palacza,Grunwald
Macieja Rataja,Stare Miasto
Maciejkowa,Grunwald
Macierzankowa,Grunwald
Mączna,Jeżyce
Madziarska,Stare Miasto
Magazynowa,Wilda
Magnacka,Stare Miasto
Magnoliowa,Grunwald
Majerankowa,Stare Miasto
Majowa,Jeżyce
Makoszowska,Nowe Miasto
Maków Polnych,Stare Miasto
Makowa,Wilda
Makowej Panienki,Grunwald
Maksymiliana Garsteckiego,Stare Miasto
Maksymiliana Jackowskiego,Jeżyce
Mała,Grunwald
Malachitowa,Stare Miasto
Malborska,Jeżyce
Małe Garbary,Stare Miasto
Malechowska,Grunwald
Malinowa,Wilda
Małopolska,Jeżyce
Małoszyńska,Grunwald
Maltańska,Nowe Miasto
Malwowa,Grunwald
Mandarynkowa,Stare Miasto
Maratońska,Wilda
Marcelego Mottego,Grunwald
Marcelin Fort VII,Grunwald
Marcelińska,Grunwald
Marcina Kasprzaka,Grunwald
Marcina Rożka,Jeżyce
Margaretkowa,Grunwald
Margonińska,Jeżyce
Mariacka,Nowe Miasto
Mariampolska,Stare Miasto
Mariana Jaroczyńskiego,Stare Miasto
Mariana Langiewicza,Wilda
Mariana Rejewskiego,Wilda
Mariana Smoluchowskiego,Grunwald
Marii Aleksandrowicz,Nowe Miasto
Marii Bohuszewiczówny,Wilda
Marii Dulębianki,Jeżyce
Marii i Celestyna Rydlewskich,Jeżyce
Marii Konopnickiej,Grunwald
Marii Kuncewiczowej,Jeżyce
Marii Lange,Grunwald
Marii Pawlikowskiej-Jasnorzewskiej,Jeżyce
Marii Rodziewiczówny,Jeżyce
Marii Swiniarskiej,Jeżyce
Marii Szembekowej,Jeżyce
Marii Szmytówny,Grunwald
Marii Wicherkiewicz,Jeżyce
Marka Hłaski,Jeżyce
Marklowicka,Nowe Miasto
Marszałkowska,Grunwald
Marynarska,Jeżyce
Marzanny,Stare Miasto
Maszewska,Jeżyce
Masztalarska,Stare Miasto
Masztowa,Nowe Miasto
Maszynowa,Grunwald
Mazowiecka,Jeżyce
Mazurska,Jeżyce
Melchiora Wańkowicza,Jeżyce
Meliorantów,Jeżyce
Melisowa,Stare Miasto
Metalowa,Grunwald
Meteorytowa,Stare Miasto
Mewy,Nowe Miasto
Mgielna,Grunwald
Miastkowska,Grunwald
Michaiła Bułhakowa,Jeżyce
Michaiła Lermontowa,Jeżyce
Michała Bałuckiego,Jeżyce
Michała Barzyńskiego,Jeżyce
Michała Drzymały,Jeżyce
Michała Kajki,Jeżyce
Michała Ossowskiego,Wilda
Michała Sobeskiego,Jeżyce
Michała Tokarzewskiego,Stare Miasto
Michała Wołodyjowskiego,Grunwald
Michaliny Stefanowskiej,Grunwald
Michałowo,Nowe Miasto
Michałowska,Jeżyce
Miechowska,Nowe Miasto
Miecznikowska,Grunwald
Mieczykowa,Grunwald
Mieczysława Jastruna,Jeżyce
Mieczysława Niedziałkowskiego,Wilda
Mieczysława Palucha,Jeżyce
Mieczysława Rawicz-Mysłowskiego,Jeżyce
Miedziana,Grunwald
Międzyborska,Grunwald
Międzychodzka,Grunwald
Międzyleska,Jeżyce
Międzyzdrojska,Jeżyce
Mielecka,Nowe Miasto
Mieleszyńska,Grunwald
Mieszkowska,Nowe Miasto
Miętowa,Stare Miasto
Migdałowa,Stare Miasto
Mikołaja Dobrzyckiego,Stare Miasto
Mikołaja Kopernika,Stare Miasto
Mikołaja Reja,Jeżyce
Mikołaja Rudnickiego,Stare Miasto
Mikołajecka,Jeżyce
Mikołowska,Grunwald
Mikstacka,Grunwald
Miła,Jeżyce
Milczańska,Nowe Miasto
Milicka,Wilda
Miłosławska,Nowe Miasto
Miłowita,Nowe Miasto
Minikowo,Nowe Miasto
Mińska,Nowe Miasto
Miodowa,Jeżyce
Mirabelkowa,Nowe Miasto
Mirosławiecka,Grunwald
Mirosławy,Nowe Miasto
Mirtowa,Stare Miasto
Misia Uszatka,Grunwald
Miśnieńska,Grunwald
Mławska,Jeżyce
Mleczowa,Stare Miasto
Młyńska,Stare Miasto
Modlińska,Nowe Miasto
Modra,Grunwald
Modrakowa,Wilda
Modrzewiowa,Wilda
Mogileńska,Nowe Miasto
Mokra,Stare Miasto
Mołdawska,Stare Miasto
Moliera,Jeżyce
Moniki Cegłowskiej,Jeżyce
Moniki Gruchmanowej,Jeżyce
Morasko,Stare Miasto
Morawska,Stare Miasto
Morelowa,Wilda
Morenowa,Stare Miasto
Morska,Jeżyce
Morszyńska,Jeżyce
Morwowa,Nowe Miasto
Moryńska,Grunwald
Morzyczańska,Nowe Miasto
Mostowa,Stare Miasto
Mrągowska,Grunwald
Mrowińska,Jeżyce
Mroźna,Stare Miasto
Mrzeżyńska,Jeżyce
Mścibora,Nowe Miasto
Murawa,Stare Miasto
Murna,Stare Miasto
Muszkowska,Jeżyce
Muszyńska,Jeżyce
Mylna,Jeżyce
Myśliborska,Jeżyce
Myśliwska,Grunwald
Mysłowicka,Nowe Miasto
Na Dołku,Nowe Miasto
Na Miasteczku,Nowe Miasto
Na Podgórniku,Stare Miasto
Na Skarpie,Nowe Miasto
Na Stoku,Stare Miasto
Na Szańcach,Stare Miasto
Na Uboczu,Wilda
Nad Bogdanką,Jeżyce
Nad Jeziorem,Jeżyce
Nad Krzesinką,Nowe Miasto
Nad Łężynką,Nowe Miasto
Nad Miedzą,Jeżyce
Nad Pokrzywką,Nowe Miasto
Nad Potokiem,Jeżyce
Nad Przeźmierką,Jeżyce
Nad Różanym Potokiem,Stare Miasto
Nad Seganką,Jeżyce
Nad Spławką,Nowe Miasto
Nad Starynką,Nowe Miasto
Nad Wierzbakiem,Jeżyce
Nadbrzeże,Stare Miasto
Nadolnik,Nowe Miasto
Nadwarciańska,Stare Miasto
Nagietkowa,Grunwald
Nagłowicka,Nowe Miasto
Nakielska,Nowe Miasto
Nałęczowska,Jeżyce
Namysłowska,Grunwald
Napoleońska,Stare Miasto
Naramowicka,Stare Miasto
Narcyzowa,Grunwald
Narcyzy Żmichowskiej,Jeżyce
Narewska,Jeżyce
Nasienna,Stare Miasto
Nasturcjowa,Grunwald
Nawigacyjna,Jeżyce
Nefrytowa,Stare Miasto
Nektarynkowa,Nowe Miasto
Nidziańska,Jeżyce
Niebieska,Jeżyce
Niecała,Grunwald
Niemeńska,Jeżyce
Niepołomicka,Jeżyce
Niestachowska,Jeżyce
Nieszawska,Nowe Miasto
Niezłomnych,Stare Miasto
Nikodema Pajzderskiego,Jeżyce
Nikołaja Gogola,Jeżyce
Niska,Jeżyce
Niżańska,Nowe Miasto
Normandzka,Stare Miasto
Nostrzykowa,Stare Miasto
Notecka,Jeżyce
Nowe Zagórze,Nowe Miasto
Nowina,Jeżyce
Nowogrodzka,Nowe Miasto
Nowokramska,Jeżyce
Nowosądecka,Nowe Miasto
Nowosolska,Grunwald
Nowotarska,Nowe Miasto
Nowotomyska,Grunwald
Nowy Świat,Jeżyce
Nuny i Bolesława Szczurkiewiczów,Grunwald
o. Honoriusza Kowalczyka,Stare Miasto
o. Mariana Żelazka,Wilda
Obodrzycka,Nowe Miasto
Obornicka,Jeżyce
Obornicka,Stare Miasto
Obozowa,Grunwald
Obrońców Tobruku,Stare Miasto
Obronna,Grunwald
Obrzańska,Grunwald
Obrzeże,Grunwald
Obrzyca,Nowe Miasto
Obrzycka,Nowe Miasto
Ochota,Nowe Miasto
Odległa,Grunwald
Odolanowska,Grunwald
Odrzycka,Grunwald
Ognik,Grunwald
Ogórkowa,Nowe Miasto
Ogrodowa,Stare Miasto
Ojcowska,Nowe Miasto
Okolewo,Stare Miasto
Okólna,Nowe Miasto
Okonecka,Grunwald
Okopowa,Nowe Miasto
Okrętowa,Jeżyce
Oławska,Grunwald
Olchowa,Wilda
Olecka,Jeżyce
Oleńki Billewiczówny,Grunwald
Oleśnicka,Grunwald
Oleszycka,Nowe Miasto
Olgi Sawickiej,Jeżyce
Olgi Sławskiej-Lipczyńskiej,Jeżyce
Olimpijska,Wilda
Oliwkowa,Nowe Miasto
Oliwska,Jeżyce
Olkuska,Nowe Miasto
Olsztyńska,Jeżyce
Olszynka,Grunwald
Olzańska,Jeżyce
Onufrego Kopczyńskiego,Stare Miasto
Onufrego Zagłoby,Grunwald
Opalenicka,Grunwald
Opalowa,Stare Miasto
Opatowska,Nowe Miasto
Opawska,Grunwald
Opłotki,Grunwald
Opoczyńska,Nowe Miasto
Opolska,Wilda
Orężna,Grunwald
Orla,Nowe Miasto
Orląt,Nowe Miasto
Orłowska,Jeżyce
Orna,Stare Miasto
Ornecka,Jeżyce
Orszańska,Grunwald
Orzechowa,Wilda
Os. Armii Krajowej,Nowe Miasto
Os. Bajkowe,Grunwald
Os. Bohaterów II Wojny Światowej,Nowe Miasto
Os. Bolesława Chrobrego,Stare Miasto
Os. Bolesława Śmiałego,Stare Miasto
Os. Czecha,Nowe Miasto
Os. Dębina,Wilda
Os. Hetmańskie,Grunwald
Os. Jagiellońskie,Nowe Miasto
Os. Jana III Sobieskiego,Stare Miasto
Os. Kosmonautów,Stare Miasto
Os. ks. Jerzego Popiełuszki,Grunwald
Os. Lecha,Nowe Miasto
Os. Lotnictwa Polskiego,Jeżyce
Os. Lotników Wielkopolskich,Jeżyce
Os. Marysieńki,Stare Miasto
Os. Mikołaja Kopernika,Grunwald
Os. Na Murawie,Stare Miasto
Os. Orła Białego,Nowe Miasto
Os. Oświecenia,Nowe Miasto
Os. Piastowskie,Nowe Miasto
Os. Pod Lipami,Stare Miasto
Os. Polan,Nowe Miasto
Os. Powstań Narodowych,Nowe Miasto
Os. Powstańców Śląskich,Wilda
Os. Powstańców Warszawy,Stare Miasto
Os. Przemysława,Nowe Miasto
Os. Przyjaźni,Stare Miasto
Os. Rusa,Nowe Miasto
Os. Rzeczypospolitej,Nowe Miasto
Os. Słowiańskie,Jeżyce
Os. Stare Żegrze,Nowe Miasto
Os. Stefana Batorego,Stare Miasto
Os. Tysiąclecia,Nowe Miasto
Os. Warszawskie,Nowe Miasto
Os. Wichrowe Wzgórze,Stare Miasto
Os. Winiary,Jeżyce
Os. Władysława Jagiełły,Stare Miasto
Os. Władysława Łokietka,Stare Miasto
Os. Zodiak,Nowe Miasto
Os. Zwycięstwa,Stare Miasto
Os. Zygmunta Starego,Stare Miasto
Osiecka,Grunwald
Osinowa,Wilda
Oskara Kolberga,Wilda
Oskierki,Grunwald
Ostatnia,Grunwald
Ostrobramska,Grunwald
Ostródzka,Jeżyce
Ostrołęcka,Jeżyce
Ostrów Tumski,Nowe Miasto
Ostrówek,Nowe Miasto
Ostrowska,Nowe Miasto
Ostrzeszowska,Grunwald
Oświęcimska,Nowe Miasto
Otwarta,Grunwald
Otwocka,Nowe Miasto
Owcza,Grunwald
Owczarska,Jeżyce
Owidiusza,Jeżyce
Ownicka,Jeżyce
Owocowa,Nowe Miasto
Owsiana,Stare Miasto
Ożarowska,Nowe Miasto
Ozimina,Stare Miasto
Pabianicka,Nowe Miasto
Paczkowska,Grunwald
Pagórkowa,Grunwald
Pałucka,Jeżyce
Pamiątkowa,Wilda
Pana Kleksa,Grunwald
Pana Twardowskiego,Grunwald
Panny,Nowe Miasto
Panny Marii,Nowe Miasto
Papuszy,Jeżyce
park Adama Mickiewicza,Jeżyce
park Adama Wodziczki,Jeżyce
park Alberta Camusa,Jeżyce
park Bambrów Poznańskich,Wilda
park Cytadela,Stare Miasto
park Forteczny,Nowe Miasto
park Fryderyka Chopina,Stare Miasto
park gen. Henryka Dąbrowskiego,Stare Miasto
park Górczyński,Grunwald
park Gustawa Manitiusa,Grunwald
park im. Jana Pawła II,Wilda
park im. Karola Kurpińskiego,Nowe Miasto
park Jana Kasprowicza,Grunwald
park Jarogniewa i Izabeli Drwęskich,Wilda
park Jurija Gagarina,Stare Miasto
park Karola Marcinkowskiego,Stare Miasto
park Kosynierów,Stare Miasto
park ks. Feliksa Michalskiego,Grunwald
park ks. Józefa Jasińskiego,Grunwald
park ks. Tadeusza Kirschke,Nowe Miasto
park Kultury i Wypoczynku,Wilda
park Ogród Zamkowy im. Ofiar Katynia i Sybiru,Stare Miasto
park Park Henryka Wieniawskiego,Stare Miasto
park park Pawła Edmunda Strzeleckiego,Nowe Miasto
park park Romana Maciejewskiego,Stare Miasto
park park Stanisława Moniuszki,Stare Miasto
park Sołacki,Jeżyce
park Stare Koryto Warty,Nowe Miasto
park Stare Koryto Warty,Stare Miasto
park Szelągowski,Stare Miasto
park T. W. Wilsona,Grunwald
park Tadeusza Mazowieckiego,Stare Miasto
park Traszki Ratajskie,Nowe Miasto
park Tysiąclecia,Nowe Miasto
park Wielkopolski Park Zoologiczny,Nowe Miasto
park Władysława Czarneckiego,Stare Miasto
park Wojciecha Wróża,Grunwald
Parkowa,Grunwald
Partyzancka,Wilda
Pasieka,Stare Miasto
Pasłęcka,Jeżyce
Pastelowa,Grunwald
Pasterska,Stare Miasto
Pastewna,Nowe Miasto
Patrice Lumumby,Wilda
Pawia,Nowe Miasto
Pawła Cymsa,Wilda
Pawła Strzeleckiego,Nowe Miasto
Pawła Włodkowica,Grunwald
Pawła Zołotowa,Jeżyce
Pawłowicka,Jeżyce
Pelplińska,Jeżyce
Perkoza,Nowe Miasto
Perkuna,Stare Miasto
Perłowa,Stare Miasto
Perłowska,Grunwald
Perzycka,Grunwald
Petera Mansfelda,Jeżyce
Petuniowa,Grunwald
Piargowa,Grunwald
Piaskowa,Stare Miasto
Piaśnicka,Nowe Miasto
Piastowska,Wilda
Piątkowska,Jeżyce
Piątkowska,Stare Miasto
Piekary,Stare Miasto
Piękna,Jeżyce
Pierwiosnkowa,Grunwald
Pietruszkowa,Nowe Miasto
Piławska,Jeżyce
Pilicka,Jeżyce
Pilotów,Jeżyce
Pilska,Nowe Miasto
Pińczowska,Nowe Miasto
Piołunowa,Stare Miasto
Pionierska,Wilda
Piotra Ściegiennego,Grunwald
Piotra Skargi,Grunwald
Piotra Tomickiego,Nowe Miasto
Piotra Wawrzyniaka,Jeżyce
Piotra Wysockiego,Grunwald
Piotrowo,Nowe Miasto
Piotrowska,Nowe Miasto
Piwna,Nowe Miasto
Piwoniowa,Grunwald
pl. Adama Asnyka,Jeżyce
pl. Adama Mickiewicza,Stare Miasto
"pl. Armii ""Poznań""",Wilda
pl. Bernardyński,Stare Miasto
pl. Cyryla Ratajskiego,Stare Miasto
pl. Kazimierza Nowakowskiego,Grunwald
pl. Kolegiacki,Stare Miasto
pl. Lipowy,Wilda
pl. Ludwika Waryńskiego,Jeżyce
pl. Marii Skłodowskiej-Curie,Wilda
pl. Międzymoście,Stare Miasto
pl. Niepodległości,Stare Miasto
pl. Orawski,Jeżyce
pl. Plac Pomorski,Jeżyce
pl. Przemysława Bystrzyckiego,Jeżyce
pl. Reformatorów,Nowe Miasto
pl. Spiski,Jeżyce
pl. Stanisława Wyspiańskiego,Grunwald
pl. Stawny,Stare Miasto
pl. Stefana Stuligrosza,Stare Miasto
pl. Światowida,Grunwald
pl. Wielkopolski,Stare Miasto
pl. Wiktora Degi,Stare Miasto
pl. Wiosny Ludów,Stare Miasto
pl. Władysława Andersa,Stare Miasto
pl. Wolności,Stare Miasto
pl. Zbawiciela,Grunwald
Platanowa,Wilda
Plauta,Jeżyce
Plebańska,Jeżyce
Pleszewska,Nowe Miasto
Płocka,Nowe Miasto
Płomienna,Grunwald
Plonowa,Nowe Miasto
Płowiecka,Grunwald
Pniewska,Jeżyce
Pobiedziska,Nowe Miasto
Pobielska,Grunwald
Pochyła,Nowe Miasto
Podbiałowa,Stare Miasto
Podbórska,Nowe Miasto
Podchorążych,Grunwald
Podgajska,Jeżyce
Podgórna,Stare Miasto
Podgórze,Stare Miasto
Podhalańska,Jeżyce
Podjaryszki,Nowe Miasto
Podjazdowa,Jeżyce
Podkomorska,Grunwald
Podlaska,Jeżyce
Podleśna,Nowe Miasto
Podmiejska,Nowe Miasto
Podmokła,Wilda
Podolańska,Jeżyce
Podolska,Jeżyce
Podstolińska,Grunwald
Podwale,Nowe Miasto
Poetycka,Jeżyce
Pogodna,Grunwald
Pogorzelska,Grunwald
Pokrzywno,Nowe Miasto
Połabska,Stare Miasto
Polanicka,Jeżyce
Połaniecka,Nowe Miasto
Polanka,Nowe Miasto
Polanowska,Jeżyce
Polańska,Stare Miasto
Polarna,Stare Miasto
Połczyńska,Jeżyce
Poleska,Jeżyce
Poli Gojawiczyńskiej,Jeżyce
Policka,Grunwald
Poligonowa,Stare Miasto
Polna,Grunwald
Polna,Jeżyce
Północna,Stare Miasto
Polska,Jeżyce
Południowa,Wilda
Półwiejska,Stare Miasto
Pomarańczowa,Stare Miasto
Pomidorowa,Nowe Miasto
Pomorska,Jeżyce
Poniecka,Wilda
Popiela,Stare Miasto
Poplińskich,Wilda
Popradzka,Jeżyce
Poprzeczna,Nowe Miasto
Popularna,Nowe Miasto
por. Janiny Lewandowskiej,Stare Miasto
Poranek,Grunwald
Porannej Rosy,Stare Miasto
Poręba,Stare Miasto
Poronińska,Jeżyce
Portowa,Jeżyce
Porzeczkowa,Nowe Miasto
Postawska,Stare Miasto
Poświata,Grunwald
Powidzka,Nowe Miasto
Powojowa,Grunwald
Powozowa,Nowe Miasto
Powstańców Wielkopolskich,Stare Miasto
Pozdawnicka,Grunwald
Poziomkowa,Nowe Miasto
Poznańska,Jeżyce
Poznańskie Sady,Nowe Miasto
Prabucka,Jeżyce
Prądnicka,Jeżyce
Promienista,Grunwald
Promyk,Grunwald
Prośnicka,Grunwald
Prosta,Grunwald
Prowansalska,Stare Miasto
Prusimska,Jeżyce
Pruszkowska,Nowe Miasto
Prużańska,Nowe Miasto
Prymasa Augusta Hlonda,Nowe Miasto
Prymasa Stefana Wyszyńskiego,Nowe Miasto
Prząśniczki,Nowe Miasto
Przasnyska,Jeżyce
Przebiśniegowa,Grunwald
Przedborska,Nowe Miasto
Przedpole,Nowe Miasto
Przedwiośnia,Stare Miasto
Przełajowa,Stare Miasto
Przełęcz,Grunwald
Przełęcz,Wilda
Przełom,Wilda
Przelot,Jeżyce
Przemyska,Nowe Miasto
Przemysłowa,Wilda
Przepadek,Stare Miasto
Przepiórcza,Grunwald
Przeskok,Nowe Miasto
Przesmyk,Grunwald
Prześwit,Jeżyce
Przeworska,Nowe Miasto
Przy Autostradzie,Grunwald
Przy Dolinie,Wilda
Przy Lotnisku,Nowe Miasto
Przybrodzka,Jeżyce
Przygraniczna,Jeżyce
Przyjemna,Nowe Miasto
Przylaszczkowa,Grunwald
Przystań,Nowe Miasto
Przytoczna,Jeżyce
